distance_mm,x_mm,y_mm,z_mm,activation_time_ms
0.0000,0.0000,0.0000,0.0000,1.30
0.4368,0.4082,0.1429,0.0612,1.30
0.8735,0.8163,0.2857,0.1224,1.30
1.3103,1.2245,0.4286,0.1837,1.50
1.7470,1.6327,0.5714,0.2449,2.00
2.1838,2.0408,0.7143,0.3061,2.70
2.6205,2.4490,0.8571,0.3673,3.40
3.0573,2.8571,1.0000,0.4286,4.10
3.4940,3.2653,1.1429,0.4898,4.80
3.9308,3.6735,1.2857,0.5510,5.60
4.3675,4.0816,1.4286,0.6122,6.40
4.8043,4.4898,1.5714,0.6735,7.30
5.2410,4.8980,1.7143,0.7347,8.10
5.6778,5.3061,1.8571,0.7959,8.80
6.1146,5.7143,2.0000,0.8571,9.90
6.5513,6.1224,2.1429,0.9184,10.80
6.9881,6.5306,2.2857,0.9796,11.70
7.4248,6.9388,2.4286,1.0408,12.90
7.8616,7.3469,2.5714,1.1020,13.80
8.2983,7.7551,2.7143,1.1633,14.70
8.7351,8.1633,2.8571,1.2245,15.90
9.1718,8.5714,3.0000,1.2857,16.80
9.6086,8.9796,3.1429,1.3469,17.70
10.0453,9.3878,3.2857,1.4082,19.00
10.4821,9.7959,3.4286,1.4694,19.90
10.9188,10.2041,3.5714,1.5306,20.70
11.3556,10.6122,3.7143,1.5918,21.60
11.7924,11.0204,3.8571,1.6531,22.90
12.2291,11.4286,4.0000,1.7143,23.80
12.6659,11.8367,4.1429,1.7755,24.70
13.1026,12.2449,4.2857,1.8367,26.00
13.5394,12.6531,4.4286,1.8980,27.00
13.9761,13.0612,4.5714,1.9592,27.80
14.4129,13.4694,4.7143,2.0204,29.20
14.8496,13.8776,4.8571,2.0816,30.10
15.2864,14.2857,5.0000,2.1429,31.00
15.7231,14.6939,5.1429,2.2041,32.30
16.1599,15.1020,5.2857,2.2653,33.10
16.5966,15.5102,5.4286,2.3265,34.00
17.0334,15.9184,5.5714,2.3878,34.90
17.4702,16.3265,5.7143,2.4490,36.30
17.9069,16.7347,5.8571,2.5102,37.10
18.3437,17.1429,6.0000,2.5714,38.00
18.7804,17.5510,6.1429,2.6327,39.40
19.2172,17.9592,6.2857,2.6939,40.20
19.6539,18.3673,6.4286,2.7551,41.10
20.0907,18.7755,6.5714,2.8163,42.40
20.5274,19.1837,6.7143,2.8776,43.30
20.9642,19.5918,6.8571,2.9388,44.10
21.4009,20.0000,7.0000,3.0000,44.50
